,predicted indicator,feature indicator,feature importance
5890,ihme-zika-virus,wdi2-SE.PRM.DURS,0.0579692951238166
5891,ihme-zika-virus,wdi2-TM.VAL.MRCH.RS.ZS,0.050713965410746
5892,ihme-zika-virus,wdi2-NY.ADJ.DMIN.GN.ZS,0.0474557921382911
5893,ihme-zika-virus,wdi2-NY.GDP.MINR.RT.ZS,0.0450817621582995
5894,ihme-zika-virus,wdi-BX.GSR.CMCP.ZS,0.0394537184182699
5895,ihme-zika-virus,wdi-DC.DAC.DEUL.CD,0.0302933977557679
5896,ihme-zika-virus,wdi-ER.FSH.PROD.MT,0.0249414743378592
5897,ihme-zika-virus,wdi2-TX.VAL.OTHR.ZS.WT,0.0247756946337121
5898,ihme-zika-virus,wdi2-SE.PRM.ENRR,0.023354678983815
5899,ihme-zika-virus,wdi-BX.GSR.TRVL.ZS,0.0202709089756857
5900,ihme-yellow-fever,wdi2-SP.DYN.CBRT.IN,0.2826970826962037
5901,ihme-yellow-fever,wdi2-NY.ADJ.DKAP.GN.ZS,0.1975801300353152
5902,ihme-yellow-fever,wdi2-PA.NUS.ATLS,0.1299835380037979
5903,ihme-yellow-fever,wdi2-PA.NUS.FCRF,0.1264031705261108
5904,ihme-yellow-fever,wdi2-SP.URB.TOTL.IN.ZS,0.0527249061702586
5905,ihme-yellow-fever,wdi2-TM.VAL.TRAN.ZS.WT,0.0309293792139339
5906,ihme-yellow-fever,wdi2-SP.RUR.TOTL.ZS,0.0264553501629335
5907,ihme-yellow-fever,wdi-BM.GSR.TRAN.ZS,0.0244590487993364
5908,ihme-yellow-fever,wdi-BX.GRT.TECH.CD.WD,0.0168228073727954
5909,ihme-yellow-fever,wdi-AG.LND.AGRI.ZS,0.0072280567555291
5910,ihme-whooping-cough,wdi2-SP.DYN.CBRT.IN,0.45374200263375
5911,ihme-whooping-cough,wdi-IT.MLT.MAIN.P2,0.0726999612555793
5912,ihme-whooping-cough,wdi2-SP.DYN.LE00.FE.IN,0.0668588631183544
5913,ihme-whooping-cough,wdi-EN.ATM.CO2E.PC,0.0555197691843424
