,predicted indicator,feature indicator,feature importance
0,ndgain-id_ecos_02-score,ndgain-nd-vulnerability-water,0.03439912632081181
1,ndgain-id_ecos_02-score,ndgain-id_wate_02-score,0.12492626856910331
2,ndgain-id_ecos_02-score,ndgain-id_infr_06-raw,0.02643516060550124
3,ndgain-id_ecos_02-score,ndgain-id_heal_01-raw,0.04231399731819559
4,ndgain-id_ecos_02-score,ndgain-id_habi_02-raw,0.5042541585873754
5,ndgain-id_ecos_02-score,ndgain-id_habi_06-score,0.08073729834679869
6,ndgain-id_ecos_02-score,ndgain-id_habi_04-score,0.039295188442377574
7,ndgain-id_ecos_02-score,ndgain-id_heal_03-score,0.019624356357682192
8,ndgain-id_ecos_02-score,ndgain-id_infr_02-score,0.1258099963356379
9,ndgain-id_ecos_02-score,ndgain-id_wate_06-raw,0.0022044491165162552
0,ndgain-id_ecos_06-score,ndgain-id_food_02-score,0.35207995697678773
1,ndgain-id_ecos_06-score,ndgain-id_soci_01-score,0.09106288288238323
2,ndgain-id_ecos_06-score,ndgain-nd-vulnerability,0.10810036458294185
3,ndgain-id_ecos_06-score,ndgain-id_ecos_01-score,0.040885474884753366
4,ndgain-id_ecos_06-score,ndgain-id_gove_03-raw,0.16811801188905767
5,ndgain-id_ecos_06-score,ndgain-id_infr_06-score,0.08762343465883654
6,ndgain-id_ecos_06-score,ndgain-id_heal_04-raw,0.00545639446458969
7,ndgain-id_ecos_06-score,ndgain-id_habi_05-score,0.024090292214980505
8,ndgain-id_ecos_06-score,ndgain-id_food_03-score,0.1067812317219208
9,ndgain-id_ecos_06-score,ndgain-id_infr_01-raw,0.0158019557237487
0,ndgain-id_food_01-score,ndgain-id_infr_05-score,0.00674058359055273
1,ndgain-id_food_01-score,ndgain-id_habi_04-raw,0.005630704302953133
2,ndgain-id_food_01-score,ndgain-id_infr_04-score,0.06577087285066813
3,ndgain-id_food_01-score,ndgain-id_wate_04-raw,0.005942670262018144
4,ndgain-id_food_01-score,ndgain-id_wate_02-score,0.3104336658448132
5,ndgain-id_food_01-score,ndgain-id_gove_01-score,0.18555423639137325
6,ndgain-id_food_01-score,ndgain-id_habi_06-score,0.09244349166190496
7,ndgain-id_food_01-score,ndgain-id_soci_03-raw,0.004053725359182787
8,ndgain-id_food_01-score,ndgain-id_infr_02-raw,0.02069342115981919
9,ndgain-id_food_01-score,ndgain-nd-vulnerability-exposure,0.3027366285767146
0,ndgain-id_food_04-raw,ndgain-id_soci_02-raw,0.02428601904772669
1,ndgain-id_food_04-raw,ndgain-nd-gain,0.08149839951528898
