model,year,target,category,values
rfr,2010,wdi-EG.ELC.RNEW.ZS,Economic Policy & Debt,0.08431242177105816
rfr,2010,wdi-EG.ELC.RNEW.ZS,Environment,0.4440259195374966
rfr,2010,wdi-EG.ELC.RNEW.ZS,Health,0.23557670012128334
rfr,2010,wdi-EG.ELC.RNEW.ZS,Social Protection & Labor,0.23608495857016193
rfr,2010,wdi2-SP.POP.GROW,Economic Policy & Debt,0.02227627785316942
rfr,2010,wdi2-SP.POP.GROW,Environment,0.31669610289956235
rfr,2010,wdi2-SP.POP.GROW,Health,0.30638791770517887
rfr,2010,wdi2-SP.POP.GROW,Social Protection & Labor,0.35463970154208946
rfr,2010,wdi2-SP.POP.TOTL,Economic Policy & Debt,0.060341280574007256
rfr,2010,wdi2-SP.POP.TOTL,Environment,0.9098332808236818
rfr,2010,wdi2-SP.POP.TOTL,Health,0.0025953114709833447
rfr,2010,wdi2-SP.POP.TOTL,Social Protection & Labor,0.027230127131327504
rfr,2010,wdi-AG.LND.TOTL.K2,Economic Policy & Debt,0.11724389747394874
rfr,2010,wdi-AG.LND.TOTL.K2,Environment,0.01822862713278705
rfr,2010,wdi-AG.LND.TOTL.K2,Health,0.8536104301482482
rfr,2010,wdi-AG.LND.TOTL.K2,Social Protection & Labor,0.010917045245016018
rfr,2010,wdi-EN.POP.DNST,Economic Policy & Debt,0.07328002584715017
rfr,2010,wdi-EN.POP.DNST,Environment,0.5131557399074149
rfr,2010,wdi-EN.POP.DNST,Health,0.3541533249888432
rfr,2010,wdi-EN.POP.DNST,Social Protection & Labor,0.05941090925659179
rfr,2010,wdi-AG.SRF.TOTL.K2,Economic Policy & Debt,0.0044204391746077015
rfr,2010,wdi-AG.SRF.TOTL.K2,Environment,0.8586374719155787
rfr,2010,wdi-AG.SRF.TOTL.K2,Health,0.12704160837314998
rfr,2010,wdi-AG.SRF.TOTL.K2,Social Protection & Labor,0.009900480536663446
rfr,2010,wdi-EG.ELC.ACCS.ZS,Economic Policy & Debt,0.006906917787653678
rfr,2010,wdi-EG.ELC.ACCS.ZS,Environment,0.03429639785166868
rfr,2010,wdi-EG.ELC.ACCS.ZS,Health,0.013250944989766374
rfr,2010,wdi-EG.ELC.ACCS.ZS,Social Protection & Labor,0.9455457393709114
rfr,2010,wdi2-SM.POP.TOTL,Economic Policy & Debt,0.012873846876650774
rfr,2010,wdi2-SM.POP.TOTL,Environment,0.8159423878503773
rfr,2010,wdi2-SM.POP.TOTL,Health,0.07891999805268549
rfr,2010,wdi2-SM.POP.TOTL,Social Protection & Labor,0.0922637672202864
rfr,2010,wdi2-SM.POP.TOTL.ZS,Economic Policy & Debt,0.042121269007674114
rfr,2010,wdi2-SM.POP.TOTL.ZS,Environment,0.6787328609979708
rfr,2010,wdi2-SM.POP.TOTL.ZS,Health,0.12873859369297602
rfr,2010,wdi2-SM.POP.TOTL.ZS,Social Protection & Labor,0.15040727630137918
rfr,2010,wdi2-SP.RUR.TOTL,Economic Policy & Debt,0.003707438821914649
rfr,2010,wdi2-SP.RUR.TOTL,Environment,0.1146335909187042
rfr,2010,wdi2-SP.RUR.TOTL,Health,0.8530309960971205
rfr,2010,wdi2-SP.RUR.TOTL,Social Protection & Labor,0.028627974162260664
