,Unnamed: 0,names,values,target,model
0,0,wdi2-NY.GDP.PCAP.CD,0.110314186545252,epi-TBN,etr
1,1,wdi-GC.REV.GOTR.CN,0.0541761759795748,epi-TBN,etr
2,2,wdi2-SL.TLF.ACTI.1524.FE.ZS,0.1142411189513361,epi-TBN,etr
3,3,wdi-DT.DOD.DSTC.XP.ZS,0.0445847034583801,epi-TBN,etr
4,4,epi-PAR,0.4041390567185277,epi-TBN,etr
5,5,wdi-IS.AIR.PSGR,0.0567378232316833,epi-TBN,etr
6,6,wdi2-SN.ITK.VITA.ZS,0.0509270247343212,epi-TBN,etr
7,7,wdi-EG.USE.COMM.GD.PP.KD,0.0634580667067854,epi-TBN,etr
8,8,wdi2-NY.GNP.MKTP.PP.CD,0.0755562466543778,epi-TBN,etr
9,9,wdi-GF.XPD.BUDG.ZS,0.0258655970197612,epi-TBN,etr
10,0,ihme-low-back-pain,0.136901612066263,epi-TBG,etr
11,1,wdi2-NY.ADJ.DPEM.GN.ZS,0.0725946059493682,epi-TBG,etr
12,2,wdi-FM.LBL.BMNY.ZG,0.0567077811507628,epi-TBG,etr
13,3,wdi-DT.DOD.DIMF.CD,0.1764068681111983,epi-TBG,etr
14,4,hdr-182206,0.1204890960169589,epi-TBG,etr
15,5,ndgain-id_heal_03-raw,0.064948538074839,epi-TBG,etr
16,6,wdi2-TT.PRI.MRCH.XD.WD,0.0817373371069406,epi-TBG,etr
17,7,itu-hiau,0.049737297689448,epi-TBG,etr
18,8,wdi-DT.NFL.PCBO.CD,0.0600719337546726,epi-TBG,etr
19,9,ihme-interpersonal-violence,0.180404930079548,epi-TBG,etr
20,0,wdi2-TM.TAX.MRCH.IP.ZS,0.0923873531886411,epi-PAR,etr
21,1,wdi2-SE.TER.CUAT.MS.FE.ZS,0.0586044341888213,epi-PAR,etr
22,2,wdi2-NE.CON.GOVT.KN,0.0591911619771859,epi-PAR,etr
23,3,hdr-175106,0.0608122220030937,epi-PAR,etr
24,4,wdi-IC.REG.DURS,0.07215537765972,epi-PAR,etr
25,5,ihme-other-cardiovascular-and-circulatory-diseases,0.1233453858943335,epi-PAR,etr
26,6,wdi2-TM.VAL.MRCH.R3.ZS,0.2400283194493987,epi-PAR,etr
27,7,wdi2-NV.IND.TOTL.KN,0.0558267615021706,epi-PAR,etr
28,8,wdi2-SH.PRV.SMOK.MA,0.1533898472067402,epi-PAR,etr
29,9,wdi2-SH.PRV.SMOK.FE,0.0842591369298945,epi-PAR,etr
30,0,ihme-other-malignant-neoplasms,0.1180479168116899,epi-BHV,etr
31,1,paris-111,0.0570283620749832,epi-BHV,etr
32,2,ohi-ao-future,0.0997561545173951,epi-BHV,etr
33,3,ohi-eco-pressures,0.1078922482050234,epi-BHV,etr
34,4,ldc-GPIS-Index,0.0633917443503488,epi-BHV,etr
35,5,wdi2-NV.AGR.TOTL.KD,0.1221410956318402,epi-BHV,etr
36,6,ihme-other-skin-and-subcutaneous-diseases,0.1456707529135563,epi-BHV,etr
37,7,unicef-ah14,0.0906452750184231,epi-BHV,etr
38,8,wdi-FM.AST.PRVT.GD.ZS,0.0883171680448058,epi-BHV,etr
39,9,ohi-liv-resilience,0.1071092824319338,epi-BHV,etr
40,0,wdi2-NY.ADJ.DPEM.GN.ZS,0.0834798486957915,epi-ECO,etr
41,1,ihme-appendicitis,0.1640302779227567,epi-ECO,etr
42,2,wdi2-NY.GDP.TOTL.RT.ZS,0.0601653460263135,epi-ECO,etr
