,model,year,target,category,values
0,lgbmr,2015,wdi-AG.LND.TOTL.K2,Economic Policy & Debt,187466240677436.0
1,lgbmr,2015,wdi-AG.LND.TOTL.K2,Environment,862641418013223.0
2,lgbmr,2015,wdi-AG.LND.TOTL.K2,Health,383121525817390.1
3,lgbmr,2015,wdi-AG.LND.TOTL.K2,Social Protection & Labor,46299984133238.0
4,lgbmr,2015,wdi-AG.SRF.TOTL.K2,Economic Policy & Debt,182589186455840.0
5,lgbmr,2015,wdi-AG.SRF.TOTL.K2,Environment,1030966781412107.8
6,lgbmr,2015,wdi-AG.SRF.TOTL.K2,Health,336202925544342.0
7,lgbmr,2015,wdi-AG.SRF.TOTL.K2,Social Protection & Labor,21092549954730.8
8,lgbmr,2015,wdi-EG.ELC.RNEW.ZS,Economic Policy & Debt,623.8832448720932
9,lgbmr,2015,wdi-EG.ELC.RNEW.ZS,Environment,3985.0568872392178
10,lgbmr,2015,wdi-EG.ELC.RNEW.ZS,Health,1346.6164731383324
11,lgbmr,2015,wdi-EG.ELC.RNEW.ZS,Social Protection & Labor,279.9484834969044
12,lgbmr,2015,wdi-EN.POP.DNST,Economic Policy & Debt,868794.4859161377
13,lgbmr,2015,wdi-EN.POP.DNST,Environment,12649660.035575869
14,lgbmr,2015,wdi-EN.POP.DNST,Health,2181416.9681777954
15,lgbmr,2015,wdi-EN.POP.DNST,Social Protection & Labor,1029043.2392425536
16,lgbmr,2015,wdi-EG.ELC.ACCS.ZS,Economic Policy & Debt,139.73950147863798
17,lgbmr,2015,wdi-EG.ELC.ACCS.ZS,Environment,153.92634092815234
18,lgbmr,2015,wdi-EG.ELC.ACCS.ZS,Health,5691.936537415653
19,lgbmr,2015,wdi-ER.FSH.CAPT.MT,Economic Policy & Debt,5968935840712.0
20,lgbmr,2015,wdi-ER.FSH.CAPT.MT,Environment,675821288189504.0
21,lgbmr,2015,wdi-ER.FSH.CAPT.MT,Health,114911217374304.0
22,lgbmr,2015,wdi-ER.FSH.CAPT.MT,Social Protection & Labor,65313872500712.0
23,lgbmr,2015,wdi-ER.FSH.PROD.MT,Economic Policy & Debt,42059632870720.0
24,lgbmr,2015,wdi-ER.FSH.PROD.MT,Environment,3123323675608372.0
25,lgbmr,2015,wdi-ER.FSH.PROD.MT,Health,1842331158209416.0
26,lgbmr,2015,wdi-ER.FSH.PROD.MT,Social Protection & Labor,231123919052896.0
27,lgbmr,2015,wdi2-SP.POP.GROW,Economic Policy & Debt,0.7260397892305264
28,lgbmr,2015,wdi2-SP.POP.GROW,Environment,9.510235910929625
29,lgbmr,2015,wdi2-SP.POP.GROW,Health,1.304664076291374
30,lgbmr,2015,wdi2-SP.POP.GROW,Social Protection & Labor,0.356343672487128
31,lgbmr,2015,wdi2-SP.POP.TOTL,Economic Policy & Debt,6.483560198407782e+16
32,lgbmr,2015,wdi2-SP.POP.TOTL,Environment,1.641500935348527e+18
33,lgbmr,2015,wdi2-SP.POP.TOTL,Health,1.13764957586713e+18
34,lgbmr,2015,wdi2-SP.POP.TOTL,Social Protection & Labor,2.9031251819715133e+18
35,lgbmr,2015,wdi2-SM.POP.TOTL,Economic Policy & Debt,105909299860864.0
36,lgbmr,2015,wdi2-SM.POP.TOTL,Environment,3608051131106448.0
37,lgbmr,2015,wdi2-SM.POP.TOTL,Health,43296277392956.0
38,lgbmr,2015,wdi2-SM.POP.TOTL,Social Protection & Labor,148650536309376.0
39,lgbmr,2015,wdi-AG.LND.FRST.K2,Economic Policy & Debt,1772816503974.0
40,lgbmr,2015,wdi-AG.LND.FRST.K2,Environment,141994100672217.06
41,lgbmr,2015,wdi-AG.LND.FRST.K2,Social Protection & Labor,16062338127596.0
42,lgbmr,2015,wdi-AG.LND.FRST.ZS,Economic Policy & Debt,137.72001476967125
43,lgbmr,2015,wdi-AG.LND.FRST.ZS,Environment,5349.729986455411
44,lgbmr,2015,wdi-AG.LND.FRST.ZS,Social Protection & Labor,1590.0972480764613
45,lgbmr,2015,wdi-EG.ELC.ACCS.UR.ZS,Economic Policy & Debt,2.803948398679495
46,lgbmr,2015,wdi-EG.ELC.ACCS.UR.ZS,Environment,2019.4577919279052
47,lgbmr,2015,wdi-EG.ELC.ACCS.UR.ZS,Health,36.69462604762885
48,lgbmr,2015,wdi2-SH.H2O.BASW.ZS,Economic Policy & Debt,27.83139460370876
49,lgbmr,2015,wdi2-SH.H2O.BASW.ZS,Environment,231.2235882934474
50,lgbmr,2015,wdi2-SH.H2O.BASW.ZS,Social Protection & Labor,2062.729030151618
51,lgbmr,2015,wdi2-SM.POP.TOTL.ZS,Economic Policy & Debt,589.3131856817054
52,lgbmr,2015,wdi2-SM.POP.TOTL.ZS,Environment,1283.982780029386
53,lgbmr,2015,wdi2-SM.POP.TOTL.ZS,Health,626.819430966978
54,lgbmr,2015,wdi2-SM.POP.TOTL.ZS,Social Protection & Labor,337.7015875179204
55,lgbmr,2015,wdi2-SP.RUR.TOTL,Economic Policy & Debt,7.10905005326252e+17
56,lgbmr,2015,wdi2-SP.RUR.TOTL,Environment,3.270159994110935e+17
57,lgbmr,2015,wdi2-SP.RUR.TOTL,Health,4.920447332640973e+16
58,lgbmr,2015,wdi2-SP.RUR.TOTL,Social Protection & Labor,3.628273584854917e+17
59,lgbmr,2015,wdi2-SP.RUR.TOTL.ZS,Economic Policy & Debt,345.0004190094769
60,lgbmr,2015,wdi2-SP.RUR.TOTL.ZS,Environment,1916.2051170915363
61,lgbmr,2015,wdi2-SP.RUR.TOTL.ZS,Health,827.677630841732
62,lgbmr,2015,wdi2-SP.RUR.TOTL.ZS,Social Protection & Labor,2815.640980407596
63,lgbmr,2015,wdi2-SP.URB.GROW,Economic Policy & Debt,0.4119966005673632
64,lgbmr,2015,wdi2-SP.URB.GROW,Environment,1.6156304526084568
65,lgbmr,2015,wdi2-SP.URB.GROW,Health,19.702065385936294
66,lgbmr,2015,wdi2-SP.URB.GROW,Social Protection & Labor,1.1844971201207954
67,lgbmr,2015,wdi2-SP.URB.TOTL,Economic Policy & Debt,6.896299260360786e+17
68,lgbmr,2015,wdi2-SP.URB.TOTL,Environment,5.421218705171005e+17
69,lgbmr,2015,wdi2-SP.URB.TOTL,Health,2.337051362639872e+16
70,lgbmr,2015,wdi2-SP.URB.TOTL,Social Protection & Labor,2.549182608268165e+17
71,lgbmr,2015,wdi2-SP.URB.TOTL.IN.ZS,Economic Policy & Debt,345.000406999141
72,lgbmr,2015,wdi2-SP.URB.TOTL.IN.ZS,Environment,1916.2052154690027
73,lgbmr,2015,wdi2-SP.URB.TOTL.IN.ZS,Health,827.6776503920555
74,lgbmr,2015,wdi2-SP.URB.TOTL.IN.ZS,Social Protection & Labor,2815.6411178931594
75,lgbmr,2015,wdi-EG.FEC.RNEW.ZS,Economic Policy & Debt,57.669140841811895
76,lgbmr,2015,wdi-EG.FEC.RNEW.ZS,Environment,6703.34473221004
77,lgbmr,2015,wdi-EG.FEC.RNEW.ZS,Health,109.15911312773824
78,lgbmr,2015,wdi-EG.FEC.RNEW.ZS,Social Protection & Labor,134.56988879665732
79,lgbmr,2015,wdi-IT.NET.SECR.P6,Economic Policy & Debt,5336383.043207169
80,lgbmr,2015,wdi-IT.NET.SECR.P6,Environment,138059635.21012855
81,lgbmr,2015,wdi-IT.NET.SECR.P6,Health,2901823.4219055176
82,lgbmr,2015,wdi-IT.NET.SECR.P6,Social Protection & Labor,1061140.8585586548
83,lgbmr,2015,wdi2-SH.STA.BASS.ZS,Economic Policy & Debt,6269.680678881705
84,lgbmr,2015,wdi2-SH.STA.BASS.ZS,Environment,642.433276321739
85,lgbmr,2015,wdi2-SH.STA.BASS.ZS,Health,183.0251636207104
86,lgbmr,2015,wdi2-SH.STA.BASS.ZS,Social Protection & Labor,183.426772788167
87,lgbmr,2015,wdi-AG.LND.AGRI.K2,Economic Policy & Debt,29328922948904.0
88,lgbmr,2015,wdi-AG.LND.AGRI.K2,Environment,163605157647000.0
89,lgbmr,2015,wdi-AG.LND.AGRI.K2,Social Protection & Labor,14765923504112.0
90,lgbmr,2015,wdi-AG.LND.AGRI.ZS,Economic Policy & Debt,295.4816008236376
91,lgbmr,2015,wdi-AG.LND.AGRI.ZS,Environment,3670.79237805491
92,lgbmr,2015,wdi-AG.LND.AGRI.ZS,Social Protection & Labor,509.64592884050217
93,lgbmr,2015,wdi-EG.ELC.ACCS.RU.ZS,Economic Policy & Debt,40.48186171799898
94,lgbmr,2015,wdi-EG.ELC.ACCS.RU.ZS,Environment,9459.609714130056
95,lgbmr,2015,wdi-EG.ELC.ACCS.RU.ZS,Health,61.12837861632579
96,lgbmr,2015,wdi-IT.MLT.MAIN,Economic Policy & Debt,1861096611383296.0
97,lgbmr,2015,wdi-IT.MLT.MAIN,Environment,6.813869309973094e+16
98,lgbmr,2015,wdi-IT.MLT.MAIN,Infrastructure,1.80362446352128e+16
99,lgbmr,2015,wdi-IT.MLT.MAIN,Social Protection & Labor,2715145736572928.0
100,lgbmr,2015,wdi-IT.MLT.MAIN.P2,Economic Policy & Debt,76.31728320196271
101,lgbmr,2015,wdi-IT.MLT.MAIN.P2,Environment,715.9390886463225
102,lgbmr,2015,wdi-IT.MLT.MAIN.P2,Infrastructure,228.5653163548559
103,lgbmr,2015,wdi-IT.MLT.MAIN.P2,Social Protection & Labor,1616.1631240695715
104,lgbmr,2015,wdi2-SH.STA.ODFC.ZS,Economic Policy & Debt,21.60110084316693
105,lgbmr,2015,wdi2-SH.STA.ODFC.ZS,Environment,279.91306744352914
106,lgbmr,2015,wdi2-SH.STA.ODFC.ZS,Health,1439.6124415922675
107,lgbmr,2015,wdi2-SH.STA.ODFC.ZS,Social Protection & Labor,57.78901192545891
108,lgbmr,2015,wdi-AG.LND.ARBL.HA.PC,Economic Policy & Debt,0.0082143221033987
109,lgbmr,2015,wdi-AG.LND.ARBL.HA.PC,Environment,0.3473825963982947
110,lgbmr,2015,wdi-AG.LND.ARBL.ZS,Economic Policy & Debt,11.035569146937632
111,lgbmr,2015,wdi-AG.LND.ARBL.ZS,Environment,1488.388509822085
112,lgbmr,2015,wdi-IT.CEL.SETS,Economic Policy & Debt,2.0820760117202125e+17
113,lgbmr,2015,wdi-IT.CEL.SETS,Environment,2.786827645823353e+18
114,lgbmr,2015,wdi-IT.CEL.SETS,Infrastructure,1.5350105774084275e+18
115,lgbmr,2015,wdi-IT.CEL.SETS,Social Protection & Labor,9.40576584470082e+17
116,lgbmr,2015,wdi-IT.CEL.SETS.P2,Economic Policy & Debt,2063.9076195061207
117,lgbmr,2015,wdi-IT.CEL.SETS.P2,Environment,12877.394161596894
118,lgbmr,2015,wdi-IT.CEL.SETS.P2,Infrastructure,834.9619126021862
119,lgbmr,2015,wdi-IT.CEL.SETS.P2,Social Protection & Labor,712.2596070617437
120,lgbmr,2015,wdi2-NY.GDP.MKTP.CD,Economic Policy & Debt,9.500646176734795e+25
121,lgbmr,2015,wdi2-NY.GDP.MKTP.CD,Environment,1.3353842790023606e+26
