,model,year,target,category,values
0,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,Economic Policy & Debt,804.0925405025482
1,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,Environment,4190.488406941295
2,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,Health,1383.330833464861
3,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,Social Protection & Labor,534.8332878649235
4,lgbmr,2010,wdi2-SP.POP.GROW,Economic Policy & Debt,0.3863971614471211
5,lgbmr,2010,wdi2-SP.POP.GROW,Environment,6.177567225957205
6,lgbmr,2010,wdi2-SP.POP.GROW,Health,5.947566294998069
7,lgbmr,2010,wdi2-SP.POP.GROW,Social Protection & Labor,6.98576289591017
8,lgbmr,2010,wdi2-SP.POP.TOTL,Economic Policy & Debt,5.716604279711334e+16
9,lgbmr,2010,wdi2-SP.POP.TOTL,Environment,4.2942986099806863e+18
10,lgbmr,2010,wdi2-SP.POP.TOTL,Health,1.9284421014421504e+16
11,lgbmr,2010,wdi2-SP.POP.TOTL,Social Protection & Labor,6.800459697317806e+17
12,lgbmr,2010,wdi-AG.LND.TOTL.K2,Economic Policy & Debt,174598370913026.0
13,lgbmr,2010,wdi-AG.LND.TOTL.K2,Environment,238244111279334.0
14,lgbmr,2010,wdi-AG.LND.TOTL.K2,Health,982231653716942.0
15,lgbmr,2010,wdi-AG.LND.TOTL.K2,Social Protection & Labor,92293843172194.0
16,lgbmr,2010,wdi-EN.POP.DNST,Economic Policy & Debt,275705.46688842773
17,lgbmr,2010,wdi-EN.POP.DNST,Environment,4823053.947921753
18,lgbmr,2010,wdi-EN.POP.DNST,Health,5516496.75201416
19,lgbmr,2010,wdi-EN.POP.DNST,Social Protection & Labor,4795645.375061035
20,lgbmr,2010,wdi-AG.SRF.TOTL.K2,Economic Policy & Debt,57246588133500.0
21,lgbmr,2010,wdi-AG.SRF.TOTL.K2,Environment,900548376881103.9
22,lgbmr,2010,wdi-AG.SRF.TOTL.K2,Health,503701306969217.6
23,lgbmr,2010,wdi-AG.SRF.TOTL.K2,Social Protection & Labor,60568340658388.0
