,feature indicator,feature importance,predicted indicator
2090,wdi-BX.TRF.PWKR.CD,0.012122515575727,ldc-HAI
2091,wdi2-SP.REG.BRTH.UR.ZS,0.1445294361506962,ldc-HAI
2092,ohi-lsp-resilience,0.0560289581054193,ldc-HAI
2093,ihme-attention-deficit/hyperactivity-disorder,0.0218070355290823,ldc-HAI
2094,itu-mdvbh,0.2510600786090881,ldc-HAI
2095,wdi2-SP.DYN.CBRT.IN,0.0780296646641705,ldc-HAI
2096,wdi2-NY.ADJ.AEDU.CD,0.0167387834924811,ldc-HAI
2097,wdi2-SL.EMP.MPYR.MA.ZS,0.0193540090252483,ldc-HAI
2098,wdi-BX.GSR.ROYL.CD,0.006687072476451,ldc-HAI
2099,unicef-wash3,0.393642446371636,ldc-HAI
2100,hdr-102006,0.0542496150806415,ldc-U5M-Value
2101,ohi-liv-resilience,0.1501861649312328,ldc-U5M-Value
2102,itu-pcmc,0.0336907123308481,ldc-U5M-Value
2103,wdi-IC.REG.PROC.FE,0.0390963877825682,ldc-U5M-Value
2104,ndgain-nd-vulnerability-sensitivity,0.0375855096658892,ldc-U5M-Value
2105,ohi-ico-pressures,0.0700761463206157,ldc-U5M-Value
2106,hdr-68606,0.1159162382978105,ldc-U5M-Value
2107,ohi-tr-score,0.0253421813082063,ldc-U5M-Value
2108,wdi2-SP.POP.4044.FE.5Y,0.135031452641324,ldc-U5M-Value
2109,wdi2-SP.DYN.AMRT.FE,0.3388255916408633,ldc-U5M-Value
2110,wdi2-TX.VAL.OTHR.ZS.WT,0.0207354742352928,ldc-U5M-Index
2111,wdi-DC.DAC.AUSL.CD,0.0188012619666133,ldc-U5M-Index
2112,hdr-169806,0.0291224205492106,ldc-U5M-Index
2113,ndgain-id_gove_04-raw,0.1085679233774147,ldc-U5M-Index
2114,ndgain-id_heal_04-raw,0.2794528220073216,ldc-U5M-Index
2115,wdi2-SH.DTH.0509,0.1036775600945298,ldc-U5M-Index
2116,wdi2-SH.TBS.DTEC.ZS,0.1932985648995105,ldc-U5M-Index
2117,key-mvi-ldc-VIC-Index,0.0419437067592929,ldc-U5M-Index
2118,ohi-ao-status,0.1516071950378557,ldc-U5M-Index
2119,wdi2-SP.POP.5054.MA.5Y,0.0527930710729577,ldc-U5M-Index
2120,ndgain-nd-readiness-governance,0.2472279165017888,ldc-MMR-Value
2121,wdi-BX.GRT.EXTA.CD.WD,0.0308544999537285,ldc-MMR-Value
2122,key-wdi2-NE.TRD.GNFS.ZS,0.0600397812564109,ldc-MMR-Value
2123,wdi-EN.ATM.HFCG.KT.CE,0.0063300934012789,ldc-MMR-Value
2124,unicef-m6,0.0157109700284202,ldc-MMR-Value
2125,hdr-57806,0.3261831074905519,ldc-MMR-Value
2126,paris-39,0.0941470316324952,ldc-MMR-Value
2127,wdi-DT.DOD.MWBG.CD,0.0114692097215509,ldc-MMR-Value
2128,wdi2-SH.STA.OWGH.FE.ZS,0.0607596993230675,ldc-MMR-Value
2129,ihme-iodine-deficiency,0.1472776906907069,ldc-MMR-Value
2130,unicef-cm13,0.250104207575877,ldc-MMR-Index
2131,wdi2-SL.TLF.ACTI.1524.MA.ZS,0.0264795962977754,ldc-MMR-Index
2132,wdi2-NY.GNP.PCAP.CD,0.0955607001417645,ldc-MMR-Index
2133,wdi2-SN.ITK.VITA.ZS,0.0226187593309092,ldc-MMR-Index
2134,wdi2-SH.DYN.AIDS.ZS,0.4677169765181719,ldc-MMR-Index
2135,ihme-rabies,0.0288696835574286,ldc-MMR-Index
2136,wdi-FB.BNK.CAPA.ZS,0.0122613146333601,ldc-MMR-Index
2137,wdi2-MS.MIL.TOTL.P1,0.0200661957396487,ldc-MMR-Index
2138,wdi2-SH.STA.ORTH,0.0639654845601982,ldc-MMR-Index
2139,wdi2-TM.TAX.MRCH.SM.AR.ZS,0.0123570816448661,ldc-MMR-Index
2140,wdi-IQ.CPA.ENVR.XQ,0.3313810756942267,ldc-STU-Value
2141,wdi2-SI.POV.MDIM.17,0.0228133797042689,ldc-STU-Value
2142,wdi2-SG.VAW.1549.ZS,0.0390248669213402,ldc-STU-Value
2143,ihme-other-skin-and-subcutaneous-diseases,0.1186933557231673,ldc-STU-Value
2144,wdi2-NE.DAB.TOTL.ZS,0.0493308539183231,ldc-STU-Value
2145,epi-FSS,0.0456470609639309,ldc-STU-Value
2146,ldc-GSSE-Value,0.2558014336312522,ldc-STU-Value
2147,hdr-24006,0.0558693461449736,ldc-STU-Value
2148,ihme-peripheral-artery-disease,0.0536674785008431,ldc-STU-Value
2149,wdi-FM.LBL.BMNY.GD.ZS,0.0277711487976737,ldc-STU-Value
2150,wdi2-NE.DAB.TOTL.ZS,0.0338804345040483,ldc-STU-Index
2151,wdi2-TX.VAL.MRCH.WL.CD,0.0471102218740973,ldc-STU-Index
2152,ihme-protein-energy-malnutrition,0.1090023405422386,ldc-STU-Index
2153,wdi-IC.WRH.DURS,0.0992087477943551,ldc-STU-Index
2154,wdi-GC.XPN.OTHR.CN,0.0184024977137973,ldc-STU-Index
2155,ihme-ovarian-cancer,0.1738088461961865,ldc-STU-Index
2156,wdi-AG.LND.ARBL.HA,0.0511829398926001,ldc-STU-Index
2157,wdi-GC.TAX.TOTL.CN,0.0291891345117955,ldc-STU-Index
2158,wdi-IQ.CPA.PUBS.XQ,0.3932486206815057,ldc-STU-Index
2159,wdi-EN.ATM.CO2E.PP.GD,0.0449662162893752,ldc-STU-Index
2160,wdi2-SP.DYN.IMRT.FE.IN,0.158177204577688,ldc-GSSE-Value
2161,wdi2-TX.VAL.MRCH.XD.WD,0.0530843775750951,ldc-GSSE-Value
2162,key-ndgain-nd-gain,0.2293673591358676,ldc-GSSE-Value
2163,ohi-ico-status,0.0354846149079198,ldc-GSSE-Value
2164,wdi2-SH.XPD.PVTD.PC.CD,0.080013307966641,ldc-GSSE-Value
2165,ndgain-id_soci_02-raw,0.1898112242907133,ldc-GSSE-Value
2166,key-wdi-ER.FSH.CAPT.MT,0.051479443939908,ldc-GSSE-Value
2167,ndgain-id_econ_01-score,0.0532045167013661,ldc-GSSE-Value
2168,hdr-44206,0.0426826946124036,ldc-GSSE-Value
2169,key-ndgain-nd-readiness,0.106695256292397,ldc-GSSE-Value
2170,ihme-gallbladder-and-biliary-tract-cancer,0.111768219543542,ldc-GSSE-Index
2171,ihme-alzheimer's-disease-and-other-dementias,0.183325510651536,ldc-GSSE-Index
2172,irena-sb-gen-off,0.0457176334147748,ldc-GSSE-Index
2173,wdi2-SE.PRM.DURS,0.0204064514345863,ldc-GSSE-Index
2174,ohi-spp-resilience,0.097845139740751,ldc-GSSE-Index
2175,unicef-m7,0.0946885485723069,ldc-GSSE-Index
2176,ohi-ao-score,0.2734476310467225,ldc-GSSE-Index
2177,key-wdi-IT.CEL.SETS.P2,0.0815968808278338,ldc-GSSE-Index
2178,wdi2-SH.DYN.NMRT,0.0822518534909106,ldc-GSSE-Index
2179,paris-9,0.0089521312770358,ldc-GSSE-Index
2180,ihme-neonatal-disorders,0.2231568687913721,ldc-ALR-Value
2181,wdi-BM.GSR.GNFS.CD,0.0437139527804201,ldc-ALR-Value
2182,epi-EPI,0.0385764072950563,ldc-ALR-Value
2183,wdi2-SP.POP.0509.MA.5Y,0.0534414218345999,ldc-ALR-Value
2184,wdi-DT.DOD.DECT.GN.ZS,0.0430302206457415,ldc-ALR-Value
2185,wdi2-SH.HIV.INCD.14,0.332343589258784,ldc-ALR-Value
2186,wdi-GC.NLD.TOTL.GD.ZS,0.006939303940802,ldc-ALR-Value
2187,wdi2-NV.AGR.TOTL.ZS,0.173136427393162,ldc-ALR-Value
2188,ohi-cp-resilience,0.0430828291111789,ldc-ALR-Value
2189,wdi2-SE.PRE.ENRR.MA,0.0425789789488826,ldc-ALR-Value
2190,paris-153,0.0297566353394589,ldc-ALR-Index
2191,itu-pcmc,0.0164574368518884,ldc-ALR-Index
2192,epi-CDA,0.0094203443522892,ldc-ALR-Index
