,feature indicator,feature importance,predicted indicator
0,wdi2-NY.GDP.PCAP.CD,0.110314186545252,epi-TBN
1,wdi-GC.REV.GOTR.CN,0.0541761759795748,epi-TBN
2,wdi2-SL.TLF.ACTI.1524.FE.ZS,0.1142411189513361,epi-TBN
3,wdi-DT.DOD.DSTC.XP.ZS,0.0445847034583801,epi-TBN
4,epi-PAR,0.4041390567185277,epi-TBN
5,wdi-IS.AIR.PSGR,0.0567378232316833,epi-TBN
6,wdi2-SN.ITK.VITA.ZS,0.0509270247343212,epi-TBN
7,wdi-EG.USE.COMM.GD.PP.KD,0.0634580667067854,epi-TBN
8,wdi2-NY.GNP.MKTP.PP.CD,0.0755562466543778,epi-TBN
9,wdi-GF.XPD.BUDG.ZS,0.0258655970197612,epi-TBN
10,ihme-low-back-pain,0.136901612066263,epi-TBG
11,wdi2-NY.ADJ.DPEM.GN.ZS,0.0725946059493682,epi-TBG
12,wdi-FM.LBL.BMNY.ZG,0.0567077811507628,epi-TBG
13,wdi-DT.DOD.DIMF.CD,0.1764068681111983,epi-TBG
14,hdr-182206,0.1204890960169589,epi-TBG
15,ndgain-id_heal_03-raw,0.064948538074839,epi-TBG
16,wdi2-TT.PRI.MRCH.XD.WD,0.0817373371069406,epi-TBG
17,itu-hiau,0.049737297689448,epi-TBG
18,wdi-DT.NFL.PCBO.CD,0.0600719337546726,epi-TBG
19,ihme-interpersonal-violence,0.180404930079548,epi-TBG
20,wdi2-TM.TAX.MRCH.IP.ZS,0.0923873531886411,epi-PAR
21,wdi2-SE.TER.CUAT.MS.FE.ZS,0.0586044341888213,epi-PAR
22,wdi2-NE.CON.GOVT.KN,0.0591911619771859,epi-PAR
23,hdr-175106,0.0608122220030937,epi-PAR
24,wdi-IC.REG.DURS,0.07215537765972,epi-PAR
25,ihme-other-cardiovascular-and-circulatory-diseases,0.1233453858943335,epi-PAR
26,wdi2-TM.VAL.MRCH.R3.ZS,0.2400283194493987,epi-PAR
27,wdi2-NV.IND.TOTL.KN,0.0558267615021706,epi-PAR
28,wdi2-SH.PRV.SMOK.MA,0.1533898472067402,epi-PAR
29,wdi2-SH.PRV.SMOK.FE,0.0842591369298945,epi-PAR
30,ihme-other-malignant-neoplasms,0.1180479168116899,epi-BHV
31,paris-111,0.0570283620749832,epi-BHV
32,ohi-ao-future,0.0997561545173951,epi-BHV
33,ohi-eco-pressures,0.1078922482050234,epi-BHV
34,ldc-GPIS-Index,0.0633917443503488,epi-BHV
35,wdi2-NV.AGR.TOTL.KD,0.1221410956318402,epi-BHV
36,ihme-other-skin-and-subcutaneous-diseases,0.1456707529135563,epi-BHV
37,unicef-ah14,0.0906452750184231,epi-BHV
38,wdi-FM.AST.PRVT.GD.ZS,0.0883171680448058,epi-BHV
39,ohi-liv-resilience,0.1071092824319338,epi-BHV
40,wdi2-NY.ADJ.DPEM.GN.ZS,0.0834798486957915,epi-ECO
41,ihme-appendicitis,0.1640302779227567,epi-ECO
42,wdi2-NY.GDP.TOTL.RT.ZS,0.0601653460263135,epi-ECO
43,wdi-BM.TRF.PWKR.CD.DT,0.0875752539672947,epi-ECO
44,wdi2-SE.TER.CUAT.BA.FE.ZS,0.0616071639847846,epi-ECO
45,wdi-HD.HCI.OVRL.LB.FE,0.089434086218397,epi-ECO
46,itu-gci-coop,0.0917187515580406,epi-ECO
47,hdr-44206,0.1049143053496993,epi-ECO
48,wdi-DT.ODA.ODAT.PC.ZS,0.1817087984166888,epi-ECO
49,wdi2-SH.UHC.NOP1.ZS,0.0753661678602329,epi-ECO
50,wdi2-NY.ADJ.AEDU.GN.ZS,0.0681520558541579,epi-EPI
51,wdi2-SP.DYN.IMRT.IN,0.1108469720334649,epi-EPI
52,epi-WMG,0.1867853666764451,epi-EPI
53,wdi2-NY.GDP.MKTP.PP.CD,0.0628984026229634,epi-EPI
54,key-wdi2-SP.POP.TOTL,0.0705167946084156,epi-EPI
55,wdi2-SL.EMP.VULN.ZS,0.0887421606042015,epi-EPI
56,wdi2-NY.ADJ.NNTY.KD,0.0635565527278483,epi-EPI
57,hdr-185206,0.1266631449127327,epi-EPI
58,wdi2-SH.XPD.PVTD.PP.CD,0.130534444215214,epi-EPI
59,itu-fts1,0.0913041057445562,epi-EPI
70,wdi-IC.TAX.PRFT.CP.ZS,0.1909293761990936,epi-MPA
71,wdi2-SL.TLF.CACT.ZS,0.0505200632772705,epi-MPA
72,wdi2-NY.GSR.NFCY.CN,0.0742214566199324,epi-MPA
73,wdi-DT.DOD.MIBR.CD,0.0926575525589988,epi-MPA
74,ohi-ao-resilience,0.1926603160444066,epi-MPA
75,key-wdi2-SP.POP.TOTL,0.0769113209993007,epi-MPA
76,wdi2-SL.UEM.1524.MA.NE.ZS,0.0959693804637254,epi-MPA
77,wdi2-NY.GDP.DEFL.ZS,0.1059777627697972,epi-MPA
78,ihme-environmental-heat-and-cold-exposure,0.0683088394649274,epi-MPA
79,wdi2-SH.FPL.SATM.ZS,0.0518439316025471,epi-MPA
80,wdi-BN.GSR.MRCH.CD,0.0721018720740101,epi-HLT
81,wdi2-SL.IND.EMPL.ZS,0.0549922368321267,epi-HLT
82,ihme-sudden-infant-death-syndrome,0.0753992153135848,epi-HLT
83,hdr-121206,0.1429045063795293,epi-HLT
84,wdi2-TX.VAL.TECH.CD,0.0971687726407164,epi-HLT
85,ndgain-id_habi_04-score,0.1257510635168167,epi-HLT
86,wdi2-SL.EMP.VULN.MA.ZS,0.101238106728504,epi-HLT
87,hdr-123406,0.1362540018399966,epi-HLT
88,wdi2-SH.DYN.MORT.FE,0.1305225752988019,epi-HLT
89,wdi2-PA.NUS.PPP,0.0636676493759131,epi-HLT
90,key-wdi-IS.SHP.GOOD.TU,0.0964810475743084,epi-MSW
91,hdr-68606,0.08170161208054,epi-MSW
92,wdi-IC.BUS.DISC.XQ,0.2018715666044122,epi-MSW
93,unicef-wash15,0.0951961452930473,epi-MSW
94,ihme-whooping-cough,0.1436145683004728,epi-MSW
95,wdi2-SH.XPD.GHED.CH.ZS,0.0383225106194148,epi-MSW
96,paris-135,0.1004233783539869,epi-MSW
97,epi-PBD,0.0769488363529816,epi-MSW
98,wdi-IQ.CPA.PROP.XQ,0.0480285809072273,epi-MSW
99,wdi2-SE.SEC.TCAQ.ZS,0.1174117539136084,epi-MSW
100,wdi2-SE.PRE.DURS,0.1624700678065279,epi-WMG
101,wdi-BX.GSR.GNFS.CD,0.0821631948791954,epi-WMG
102,mvi-environmental,0.0564039316877236,epi-WMG
103,wdi2-SH.XPD.OOPC.CH.ZS,0.0864420748523979,epi-WMG
104,ohi-mar-future,0.0699395999404019,epi-WMG
105,ndgain-nd-vulnerability-habitat,0.2225896355907985,epi-WMG
106,wdi2-SH.ANM.CHLD.ZS,0.1149400397144201,epi-WMG
107,ihme-non-rheumatic-valvular-heart-disease,0.1129935894624849,epi-WMG
108,wdi-DC.DAC.KORL.CD,0.0192843871615754,epi-WMG
109,ohi-spp-resilience,0.0727734789044739,epi-WMG
220,ohi-le-score,0.0053361659934687,epi-WWT
221,wdi2-NY.GDP.MKTP.PP.KD,0.1356084557081636,epi-WWT
222,hdr-169706,0.1937598659658362,epi-WWT
223,wdi-FB.CBK.DPTR.P3,0.0185328205318941,epi-WWT
224,key-ndgain-nd-gain,0.0569040941959369,epi-WWT
225,ldc-AIN-Value,0.02839530005529,epi-WWT
226,wdi2-SP.POP.SCIE.RD.P6,0.1294878016439807,epi-WWT
227,wdi-FI.RES.TOTL.CD,0.0896998874152612,epi-WWT
228,hdr-195706,0.3109464450857758,epi-WWT
229,blasiak-index-26-50,0.0313291634043923,epi-WWT
230,wdi2-SL.TLF.CACT.ZS,0.0307716796015766,epi-WRS
231,wdi-EG.ELC.FOSL.ZS,0.0200399222084284,epi-WRS
232,wdi2-NY.ADJ.NNTY.PC.CD,0.1612131369283914,epi-WRS
233,blasiak-sea-26-16,0.0260959755170847,epi-WRS
234,ndgain-id_wate_03-score,0.4035687448824031,epi-WRS
235,wdi2-NY.ADJ.SVNX.GN.ZS,0.0587061734459633,epi-WRS
236,wdi2-SL.UEM.TOTL.MA.NE.ZS,0.0799638275012261,epi-WRS
237,itu-pc4,0.0247688674671993,epi-WRS
238,wdi-IS.AIR.DPRT,0.1623306605681108,epi-WRS
