,feature indicator,feature importance,predicted indicator
23440,wdi2-TM.VAL.MRCH.AL.ZS,0.1424488698078923,ghi-wasting
23441,wdi2-TM.VAL.MRCH.R3.ZS,0.1676789939429447,ghi-wasting
23442,wdi2-NV.MNF.TXTL.ZS.UN,0.1538428268060618,ghi-wasting
23443,wdi2-SP.RUR.TOTL.ZG,0.1223055222568113,ghi-wasting
23444,wdi-BN.TRF.CURR.CD,0.065712814238645,ghi-wasting
23445,wdi2-SE.SEC.ENRR.MA,0.0395574557394952,ghi-wasting
23446,wdi-EN.ATM.METH.EG.KT.CE,0.1237732146566946,ghi-wasting
23447,key-wdi2-SP.POP.TOTL,0.0426489865909573,ghi-wasting
23448,hdr-63306,0.030858263804694,ghi-wasting
23449,wdi-BX.TRF.PWKR.CD.DT,0.1111730521558034,ghi-wasting
23450,epi-HLT,0.0622175771396259,ghi-stunting
23451,wdi2-SL.EMP.VULN.MA.ZS,0.0865893264529809,ghi-stunting
23452,key-mvi-ldc-REM-Index,0.0531379997562291,ghi-stunting
23453,wdi2-SP.POP.65UP.FE.ZS,0.0471320907254423,ghi-stunting
23454,wdi2-SP.POP.0014.MA.ZS,0.2415170193106583,ghi-stunting
23455,irena-rh-gen-off,0.0606973113650767,ghi-stunting
23456,wdi2-SH.H2O.BASW.ZS,0.2285246066052433,ghi-stunting
23457,wdi2-SL.TLF.0714.SW.TM,0.0301859828707221,ghi-stunting
23458,hdr-24206,0.1341186040834704,ghi-stunting
23459,wdi2-SG.LAW.INDX,0.0558794816905506,ghi-stunting
23460,ohi-cp-status,0.0462799065106282,ghi-u5m
23461,ohi-bd-future,0.121507776021887,ghi-u5m
23462,ihme-measles,0.0785405527268744,ghi-u5m
23463,wdi2-per_lm_alllm.adq_pop_tot,0.014928531842774,ghi-u5m
23464,ihme-idiopathic-epilepsy,0.0781990129441805,ghi-u5m
23465,key-mvi-ldc-LECZ-Index,0.0251967976119274,ghi-u5m
23466,wdi2-SH.STA.POIS.P5,0.09460159555381,ghi-u5m
23467,hdr-181706,0.1797710226958182,ghi-u5m
23468,ihme-alzheimer's-disease-and-other-dementias,0.0432486086146418,ghi-u5m
23469,wdi2-SH.STA.HYGN.UR.ZS,0.3177261954774582,ghi-u5m
23840,hdr-183906,0.0190773885435813,ghi-index
23841,wdi-GC.XPN.GSRV.ZS,0.0560224686982317,ghi-index
23842,hdr-89006,0.0900430299646993,ghi-index
23843,wdi2-ST.INT.DPRT,0.0103759037780103,ghi-index
23844,ihme-gynecological-diseases,0.0771995390513017,ghi-index
23845,hdr-24106,0.2129103508126023,ghi-index
23846,ihme-typhoid-and-paratyphoid,0.0722860396289757,ghi-index
23847,wdi2-TM.TAX.MANF.SM.FN.ZS,0.1094917119307329,ghi-index
23848,wdi2-SL.TLF.TOTL.FE.ZS,0.095095999698121,ghi-index
23849,ldc-U5M-Index,0.2574975678937437,ghi-index
23850,wdi2-per_allsp.adq_pop_tot,0.0641378589601776,ghi-nourish
23851,ihme-varicella-and-herpes-zoster,0.1929883155867143,ghi-nourish
23852,wdi2-SL.TLF.CACT.FM.ZS,0.1258777408316718,ghi-nourish
23853,wdi2-SI.DST.50MD,0.0397612084148381,ghi-nourish
23854,hdr-136906,0.1847135558954224,ghi-nourish
23855,wdi2-TM.TAX.TCOM.BC.ZS,0.0600234890227178,ghi-nourish
23856,hdr-73506,0.1941207808199679,ghi-nourish
23857,epi-RMS,0.0196577388111069,ghi-nourish
23858,wdi2-PX.REX.REER,0.1000459340522599,ghi-nourish
23859,epi-FSH,0.0186733776051231,ghi-nourish
